title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 إبداع الدلالة في الشعر الجاهلي؛ مدخل لغوي أسلوبي	 د. محمد العبد			 القاهرة	 2013م	 الأولى 	 1 	 130 	https://www.lisanarb.com/2023/12/pdf_893.html	https://archive.org/download/lis_ar30/lisanarb.com_ar3004.pdf https://archive.org/download/lis_arb015/lis_arb1504.pdf https://archive.org/stream/lis_ar30/lisanarb.com_ar3004#mode/2up 
 البنى والرؤى؛ مضايق الكلام وأوساعه	 د. محمد الهادي الطرابلسي			 تونس	 2006م	 الأولى 	 1 	 177 	https://www.lisanarb.com/2023/12/pdf_851.html	https://archive.org/download/lis_li12/lisanarb.com_li1204.pdf https://archive.org/stream/lis_li12/lisanarb.com_li1204#mode/2up 
 البديع, بين البلاغة العربيَّة واللسانيات النصية	 د. جميل عبد المجيد			 القاهرة	 1998م	 الأولى 	 1 	 212 	https://www.lisanarb.com/2023/12/pdf_114.html	https://archive.org/download/lis_li12/lisanarb.com_li1203.pdf https://archive.org/download/lis_bl03/lis_bl0316.pdf https://archive.org/stream/lis_li12/lisanarb.com_li1203#mode/2up 
 الأسس الإبستمولوجية للنظرية اللسانية (البنيوية والتوليدية)	 د. محمد محمد العمري			 الأردن	 2012م	 الأولى 	 1 	 321 	https://www.lisanarb.com/2023/12/pdf_666.html	https://archive.org/download/lis_li11/lisanarb.com_li1109.pdf https://archive.org/download/lis_lis01/lis_lis0108.pdf https://archive.org/stream/lis_li11/lisanarb.com_li1109#mode/2up 
 العلاج النفسي التدعيمي	 بيتر. ن. نوفاليس - ستيفن. ج . روحسيفيتز - روجر بيل		 المشروع (المركز) القومي للترجمة	 القاهرة	 1998م	 الأولى 	 1 	 392 	https://www.lisanarb.com/2023/12/pdf_285.html	https://archive.org/download/lis_sa37/lisanarb.com_sa3744.pdf https://archive.org/download/NCT01/NCT0052A.pdf https://archive.org/stream/lis_sa37/lisanarb.com_sa3744#mode/2up 
 الطبيعة البشرية	 ألفريد أدلر		 المشروع (المركز) القومي للترجمة	 القاهرة	 2005م	 الأولى 	 1 	 292 	https://www.lisanarb.com/2023/12/pdf_864.html	https://archive.org/download/lis_qt14/lisanarb.com_qt141.pdf https://archive.org/download/NCT01/NCT0846A.pdf https://archive.org/stream/lis_qt14/lisanarb.com_qt141#mode/2up 
 الصحة العقلية في العالم	 روبرت ديجارليه		 المشروع (المركز) القومي للترجمة	 القاهرة	 2003م	 الأولى 	 1 	 654 	https://www.lisanarb.com/2023/12/pdf_906.html	https://archive.org/download/lis_sa47/lisanarb.com_sa4735.pdf https://archive.org/download/NCT01/NCT0596A.pdf https://archive.org/stream/lis_sa47/lisanarb.com_sa4735#mode/2up 
 الديسلكسيا (اضطرابات اللغة في الأطفال)	 آني ديمون		 المشروع (المركز) القومي للترجمة	 القاهرة	 2006م	 الأولى 	 1 	 198 	https://www.lisanarb.com/2023/12/pdf_695.html	https://archive.org/download/lis_qt13/lisanarb.com_qt1318.pdf https://archive.org/download/NCT02/NCT1008A.pdf https://archive.org/stream/lis_qt13/lisanarb.com_qt1318#mode/2up 
 الحسد والإغریق, دراسة في السلوك الإنساني	 بیتروالكوت		 المشروع (المركز) القومي للترجمة	 القاهرة	 1998م	 الأولى 	 1 	 176 	https://www.lisanarb.com/2023/12/pdf_406.html	https://archive.org/download/lis_sa37/lisanarb.com_sa3732.pdf https://archive.org/download/NCT01/NCT0039A.pdf https://archive.org/stream/lis_sa37/lisanarb.com_sa3732#mode/2up 
 التحليل النفسي والأدب	 جان بيلمان نويل		 المشروع (المركز) القومي للترجمة	 القاهرة	 1997م	 الأولى 	 1 	 148 	https://www.lisanarb.com/2023/12/pdf_94.html	https://archive.org/download/lis_sa37/lisanarb.com_sa3723.pdf https://archive.org/download/NCT01/NCT0014A.pdf https://archive.org/stream/lis_sa37/lisanarb.com_sa3723#mode/2up 
 الإيديولوجية	 دیڤید هوكس		 المشروع (المركز) القومي للترجمة، القاهرة		 2000م	 الأولى 	 1 	 104 	https://www.lisanarb.com/2023/12/pdf_79.html	https://archive.org/download/lis_sa37/lisanarb.com_sa3719.pdf https://archive.org/download/NCT01/NCT0159A.pdf https://archive.org/stream/lis_sa37/lisanarb.com_sa3719#mode/2up 
 وداع الرسول صلى الله عليه وسلم لأمته دروس ووصايا وعبر وعظات (مفهرس)	 د. سعيد بن علي بن وهف القحطاني			 الرياض	 1416هـ ، 1995م	 الأولى 	 1 	 158 	https://www.lisanarb.com/2023/12/pdf_858.html	https://archive.org/download/lis_m54/lisanarb.com_m5409.pdf https://archive.org/download/FP24652/24652.pdf https://archive.org/stream/lis_m54/lisanarb.com_m5409#mode/2up 
 غزوة فتح مكة في ضوء السنة المطهرة	 عبد الرحمن بن سعيد بن علي وهف القحطاني	 د. سعيد بن علي بن وهف القحطاني		 الرياض	 1423هـ ، 2002م	 الأولى 	 1 	 256 	https://www.lisanarb.com/2023/12/pdf_35.html	https://archive.org/download/lis_m54/lisanarb.com_m5404.pdf https://archive.org/download/FP160384/160384.pdf https://archive.org/stream/lis_m54/lisanarb.com_m5404#mode/2up 
 رحمة للعالمين محمد رسول الله سيد الناس أجمعين نبي الرحمة المهداة خاتم المرسلين صلى الله عليه وسلم	 د. سعيد بن علي بن وهف القحطاني			 الرياض	 1427هـ ، 2006م	 الأولى 	 1 	 512 	https://www.lisanarb.com/2023/12/pdf_170.html	https://archive.org/download/lis_m53/lisanarb.com_m5310.pdf https://archive.org/download/FP70695/70695.pdf https://archive.org/stream/lis_m53/lisanarb.com_m5310#mode/2up 
 مجموع رسائل الشاب الصالح عبد الرحمن بن سعيد بن وهف القحطاني	 عبد الرحمن سعيد بن علي بن وهف القحطاني	 د. سعيد بن علي بن وهف القحطاني		 الرياض	 1431هـ	 الأولى 	 1 	 364 	https://www.lisanarb.com/2023/12/pdf_63.html	https://archive.org/download/lis_m54/lisanarb.com_m5406.pdf https://archive.org/download/Ktbbinwahaf/%D9%85%D8%AC%D9%85%D9%88%D8%B9%20%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%B4%D8%A7%D8%A8%20%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%AD.pdf https://archive.org/stream/lis_m54/lisanarb.com_m5406#mode/2up 
